investor_id,investor_name,preferred_domains,risk_appetite,company_type,investment_size_range,past_investments,preferred_stage,location,industry_focus,available_funds
244,Snap Inc.,"Metaverse,AI,AR",Medium,Social & AR,500k-2M,35,Growth,USA,"Metaverse,AI,AR",9195826
245,Siemens Healthineers,"HealthTech,AI,Infrastructure",Medium,Healthcare Tech,10M-50M,26,Seed,USA,"HealthTech,AI,Infrastructure",3785446
246,BioNTech,"HealthTech,AI,EnterpriseAI",High,Biotech & AI,500k-2M,42,Seed,USA,"HealthTech,AI,EnterpriseAI",8851747
247,Philips Healthcare,"HealthTech,AI,IoT",Medium,Healthcare Tech,10M-50M,26,Growth,Asia,"HealthTech,AI,IoT",2462781
248,Medtronic,"HealthTech,AI,Robotics",Medium,Medical Devices,100k-500k,47,Early,Europe,"HealthTech,AI,Robotics",6274964
249,Byju's,"EdTech,AI,EnterpriseAI",Low,Education Tech,2M-10M,25,Seed,Europe,"EdTech,AI,EnterpriseAI",7302466
250,Unacademy,"EdTech,AI,EnterpriseAI",Low,Education Tech,10M-50M,14,Seed,Asia,"EdTech,AI,EnterpriseAI",2990217
251,Chegg,"EdTech,AI,AICloud",Low,Education Tech,100k-500k,30,Early,USA,"EdTech,AI,AICloud",4647861
252,Khan Academy,"EdTech,AI,AICloud",Low,Education Tech,500k-2M,22,Seed,Global,"EdTech,AI,AICloud",9118492
253,Zoom Video,"EnterpriseAI,AI,Metaverse",Medium,Collaboration Tech,100k-500k,38,Early,Asia,"EnterpriseAI,AI,Metaverse",5787097
254,Slack,"EnterpriseAI,AI,ITServices",Low,Collaboration Tech,2M-10M,15,Seed,USA,"EnterpriseAI,AI,ITServices",9154656
255,Dropbox,"EnterpriseAI,Cloud,AI",Low,Cloud & SaaS,100k-500k,22,Growth,Asia,"EnterpriseAI,Cloud,AI",874925
256,Tencent,"AI,Metaverse,EnterpriseAI",High,Tech Conglomerate,500k-2M,47,Seed,Asia,"AI,Metaverse,EnterpriseAI",5494866
257,Alibaba Cloud,"AICloud,EnterpriseAI,AIHardware",High,Cloud & AI,10M-50M,26,Growth,Global,"AICloud,EnterpriseAI,AIHardware",7581029
258,Spotify,"AI,EnterpriseAI,Metaverse",Low,Entertainment & AI,10M-50M,29,Growth,Asia,"AI,EnterpriseAI,Metaverse",8368522
259,Netflix,"AI,Metaverse,EnterpriseAI",Low,Entertainment & AI,100k-500k,33,Early,Europe,"AI,Metaverse,EnterpriseAI",3917223
260,Twitter/X,"AI,Metaverse,EnterpriseAI",Medium,Social Media,100k-500k,21,Early,Asia,"AI,Metaverse,EnterpriseAI",9102150
